GEOID,pop_pov,pov_rt
06037262604,6232,1.1
06037262704,3608,6.8
06037262706,3794,5.4
06037262802,3294,1.3
06037264000,3104,5
06037264102,2732,8.1
06037264103,2743,18.7
06037264301,5239,7.4
06037264302,5830,9.5
06037265100,2579,3.7
06037265201,2019,33.3
06037265202,3454,23.6
06037265301,0,-
06037265303,4814,76.4
06037265304,2628,75.7
06037265305,3545,61.7
06037265410,1533,6.7
06037265420,1934,9.5
06037265510,4395,43.4
06037265520,4802,12.8
06037265601,3369,8.9
06037265602,2869,8.1
06037265700,5166,11
06037267100,6844,9.9
06037267200,6089,8.6
06037267300,4656,19.2
06037267402,4822,11.6
06037267403,3242,15.1
06037267404,3273,17.2
06037267501,6883,10.8
06037267502,3524,12.2
06037267600,2755,12.7
06037267700,3122,9.7
06037267800,2779,6.7
06037267901,2235,4.8
06037267902,3574,7.8
06037269000,5441,7.6
06037269100,4020,7.8
06037269300,3980,6.2
06037269500,4056,2.9
06037269601,3444,13.9
06037269602,2924,18.8
06037269700,3877,8.2
06037269800,3217,21.6
06037269903,3529,13
06037269904,3801,9.6
06037269905,2520,11.9
06037269906,2953,9.2
06037269907,3097,15.1
06037270100,4310,14
06037270200,3465,8.4
06037270300,2512,8.8
06037271100,2412,8.6
06037271200,2806,13.3
06037271300,4629,4.6
06037271400,3728,7.3
06037271500,3153,4.7
06037271600,4755,17.7
06037271701,5532,11.4
06037271702,4176,18.8
06037271801,3415,23.9
06037271802,5481,14.7
06037271901,3300,11.9
06037271902,4110,10.7
06037272100,4620,13.4
06037272201,2617,13.6
06037272202,3675,7.5
06037272301,3044,15.4
06037272302,4367,11.6
06037273100,2541,9.2
06037273200,3241,23.8
06037273300,3265,13.4
06037273402,2804,14.5
06037273502,2883,10.4
06037273600,2333,6.9
06037273700,2897,5.3
06037273800,3122,6.9
06037273902,3985,6.6
06037274100,4251,12.8
06037274202,4384,6.9
06037275101,1254,12.5
06037275102,3862,12.4
06037275200,4019,16.4
06037275302,4799,11.9
06037275311,5851,6.8
06037275400,3696,2.4
06037275500,5654,28.2
06037275602,9596,11.4
06037275603,2793,14.2
06037276000,5452,3.8
06037276100,5935,6.7
06037276400,4143,18.8
06037276500,1782,18.4
06037276601,4076,12.3
06037276603,5265,5.4
06037276604,4340,11.8
06037277000,5422,0.7
06037277100,3201,1.6
06037277200,2336,24.2
06037277400,1573,19.6
06037278001,2570,16.9
06037278102,3118,3.1
06037291110,3951,29.9
06037291120,2384,24.6
06037291130,3533,14
06037291210,5702,22.5
06037291220,3769,18.4
06037291300,2697,6.5
06037292000,6460,33.8
06037293201,6885,15.4
06037293202,6269,35.9
06037293301,2997,9.9
06037293302,5664,15
06037293304,4466,16.3
06037293306,2529,3.3
06037293307,2601,26.5
06037294110,4286,23.1
06037294120,2435,27.9
06037294200,5166,16.9
06037294301,2639,6.8
06037294302,4409,25.9
06037294410,5040,31.9
06037294421,2989,25.3
06037294510,4721,25.2
06037294520,3860,27.5
06037294610,4404,32.5
06037294620,4539,20.2
06037294701,3226,32.5
06037294810,4096,34.3
06037294820,3783,27.5
06037294830,3913,36
06037294900,3711,26.5
06037295103,4938,2.8
06037296210,3153,35.6
06037296220,4500,43.6
06037296300,5003,8.8
06037296401,3288,4.3
06037296402,3166,8.1
06037296500,4010,26.8
06037296600,4974,23.4
06037296901,4041,16.8
06037296902,4023,20.3
06037297000,5241,6.8
06037297110,4946,36.4
06037297120,3255,20.2
06037297201,4103,10.8
06037297202,4153,13.7
06037297300,2223,6.9
06037297400,3701,6.8
06037297500,5258,9.9
06037297601,2684,4.7
06037297602,4048,14.3
06037300100,5660,4.3
06037300200,5535,10.6
06037300301,5871,4.1
06037300400,6156,5.9
06037300501,3190,6.3
06037300502,6018,9.7
06037300600,9203,8.7
06037300701,6347,4.4
06037300702,4995,8.9
06037300800,8016,12.2
06037300901,6533,3.4
06037300902,2082,3.2
06037301000,4970,11.7
06037301100,6847,13.1
06037301203,4430,11.5
06037301204,5095,16.2
06037301205,2221,5.5
06037301206,5356,18.3
06037301300,1943,4.5
06037301400,3899,5.3
06037301501,1924,8.1
06037301502,6794,22.1
06037301601,6592,16.8
06037301602,4106,13.3
06037301701,3056,9.6
06037301702,5543,16.3
06037301801,4793,13.1
06037301802,4016,19.3
06037301900,8005,23.4
06037302002,3927,22
06037302003,3803,15.7
06037302004,4379,20.5
06037302102,6012,12.9
06037302103,5958,24.1
06037302104,4037,17.2
06037302201,3787,32.6
06037302202,5310,24.2
06037302301,4307,19.8
06037302302,5397,15.5
06037302401,6353,36.5
06037302503,4305,25.9
06037302504,4210,21.5
06037302505,4347,25.8
06037302506,3295,15.9
06037310100,5975,1.9
06037310201,5475,6.6
06037310202,5038,15.4
06037310300,2668,2.1
06037310400,3204,6.1
06037310501,3995,8.1
06037310601,6799,17.9
06037310602,2814,7.2
06037310701,2451,21.4
06037310702,7105,18.1
06037310703,4903,24.8
06037310800,5213,14.5
06037310900,6374,8
06037311000,3845,6.7
06037311100,4042,6.4
06037311200,3185,3.7
06037311300,3963,16.3
06037311400,2286,7
06037311500,5682,7
06037311600,6923,13.7
06037311700,5664,7.9
06037311801,2850,11.4
06037311802,3913,17.4
06037320000,0,-
06037320100,7544,13.8
06037320201,4413,21.5
06037320202,5695,10.1
06037320300,6807,21.2
06037400204,5974,3.8
06037400205,2853,5.7
06037400206,5279,2.7
06037400207,4541,2.1
06037400302,3096,10.5
06037400304,7346,11.4
06037400402,4355,5
06037400403,4096,6.7
06037400404,4561,5.7
06037400501,2166,5.6
06037400602,4149,9.6
06037400603,5111,11.3
06037400604,3206,23.4
06037400800,2856,17.2
06037400900,4328,9.4
06037401001,3282,3.9
06037401002,3822,13.3
06037401101,5492,12.1
06037401102,3096,9
06037401201,3332,2.1
06037401202,4696,12.4
06037401203,5217,12.5
06037401303,2358,4.5
06037401304,5756,4
06037401311,6145,10.9
06037401312,5038,6.4
06037401500,5692,9.5
06037401601,5352,6.3
06037401602,6254,11.8
06037401603,2603,8.1
06037401701,4237,7.5
06037401703,4277,19.5
06037401704,6146,20.1
06037401800,7776,9.9
06037401901,268,9
06037401902,5834,6.6
06037402001,3207,15.7
06037402002,4077,14.2
06037402101,5145,22.1
06037402102,4714,19
06037402200,6779,18.7
06037402301,5690,20.3
06037402303,3691,24.2
06037402304,4367,30.1
06037402402,6410,15.4
06037402403,3639,7.8
06037402404,9,0
06037402405,2965,25.3
06037402406,5053,18.2
06037402501,6116,25.9
06037402502,6942,26
06037402600,7197,19.3
06037402702,6584,39.1
06037402703,4763,19.9
06037402705,3194,12.4
06037402706,4191,16.1
06037402801,4938,33.3
06037402803,3054,19.1
06037402804,4137,19.5
06037402902,6743,27.2
06037402903,4471,19
06037402904,3671,9.8
06037403000,7230,18.9
06037403200,304,76.6
06037403303,2784,9.5
06037403304,5016,6.2
06037403305,2260,6.6
06037403312,4977,5.2
06037403316,6815,4.2
06037403317,4534,3.7
06037403318,6294,11.7
06037403319,4384,6
06037403320,4984,5.3
06037403321,6436,9.8
06037403322,3864,11.1
06037403323,5377,4.3
06037403324,7067,6.1
06037403325,5200,2.8
06037403401,5525,11.7
06037403402,3701,7.8
06037403403,4866,6.2
06037403404,2595,7.5
06037403405,1712,7
06037403406,3016,11.7
06037403407,2116,12
06037403408,6515,4.1
06037403500,1909,3.2
06037403600,6734,4.9
06037403702,3509,2.4
06037403703,4646,8.2
06037403721,4929,9.7
06037403722,5932,17.8
06037403801,6612,14.1
06037403802,6095,11.2
06037403901,3284,8.1
06037403902,4671,13.4
06037404000,4946,7.8
06037404100,6978,12.5
06037404201,3863,36.3
06037404202,2748,25.7
06037404301,5544,15.7
06037404302,2240,12.3
06037404401,3939,15.8
06037404402,4663,11.6
06037404501,2518,9.3
06037404503,2848,18.3
06037404504,4450,14
06037404600,1370,8.3
06037404701,5514,16.7
06037404702,5884,25.1
06037404703,3348,27.7
06037404801,8170,14.5
06037404802,4637,11.6
06037404803,1657,6.8
06037404901,5779,5.2
06037404902,4278,17.6
06037404903,2728,14.6
06037405001,6000,8.2
06037405002,3106,7.3
06037405101,5532,16.2
06037405102,4309,19.8
06037405201,4838,15.7
06037405202,5245,17
06037405203,3713,9
06037405301,3645,15.6
06037405302,6038,16.1
06037405400,5375,7.1
06037405500,6742,4.8
06037405600,5753,4
06037405701,3841,0.8
06037405702,5198,11.8
06037405800,5741,8.5
06037405900,3844,10.5
06037406000,5092,11.8
06037406101,3356,5.9
06037406102,6225,7.5
06037406200,5785,19
06037406300,5522,12.2
06037406402,2267,0.8
06037406411,2157,7.1
06037406412,2500,3.2
06037406500,6497,5.9
06037406601,5657,6.7
06037406602,5912,9.4
06037406701,3115,4.3
06037406702,5724,12.9
06037406800,4769,12.1
06037406901,4825,17.1
06037406902,3832,5.8
06037407001,6396,8.4
06037407002,3481,11.8
06037407101,4822,24.9
06037407102,5641,6.8
06037407200,7349,19.2
06037407301,4833,10.5
06037407302,3608,10.4
06037407400,2008,4.4
06037407501,4522,15
06037407502,4052,11.4
06037407601,4473,25.1
06037407602,3918,10.8
06037407701,4977,28.1
06037407702,6890,10.8
06037407801,5614,12.3
06037407802,3670,4
06037407900,6805,8.9
06037408003,4272,10
06037408004,2369,9
06037408005,5049,6.3
06037408006,3652,16
06037408133,5607,19.8
06037408134,2768,10
06037408135,3826,10.1
06037408136,3864,8.5
06037408137,4060,16.3
06037408138,5624,30.4
06037408139,4204,10.3
06037408140,4035,12.1
06037408141,5142,8.5
06037408202,2114,16.5
06037408211,5985,19.7
06037408212,5430,12.7
06037408301,5758,15.6
06037408302,4182,4.2
06037408303,4322,6.9
06037408401,4231,6.6
06037408402,5948,10.2
06037408501,3135,6.8
06037408503,6480,1.9
06037408504,4988,10
06037408505,2532,5.8
06037408623,3113,9.9
06037408624,3175,11.2
06037408625,4037,9
06037408626,4623,13.4
06037408627,3169,9.7
06037408628,5420,15.1
06037408629,2716,9.9
06037408630,2685,7
06037408631,5316,7.5
06037408703,6525,4.7
06037408704,3137,28.8
06037408705,5418,7.3
06037408706,1809,10
06037408722,4510,14.7
06037408723,2942,6.8
06037408724,5407,19.7
06037408800,3877,32.3
06037430002,6681,8.1
06037430003,4620,6.2
06037430101,5133,20.7
06037430102,4902,15.2
06037430200,1105,8.2
06037430301,4484,4.4
06037430302,5579,3.2
06037430400,4879,4.4
06037430501,4118,3.7
06037430502,6931,5.9
06037430600,4570,10.5
06037430701,5425,6.1
06037430721,3491,6.8
06037430723,4590,7
06037430724,4895,11.6
06037430801,7046,8.4
06037430802,4288,14.7
06037430803,5411,5.3
06037430901,4485,8.9
06037430902,4528,11.1
06037431001,7366,13.1
06037431002,3182,9.4
06037431100,7553,5.8
06037431200,5957,17
06037431300,2723,6.5
06037431400,4157,9.4
06037431501,4543,22.8
06037431502,4122,15
06037431600,4112,6.8
06037431700,5928,7.9
06037431800,5820,13.9
06037431900,4447,20.2
06037432000,7678,8.7
06037432101,4183,6.8
06037432102,5783,7.2
06037432201,4591,14
06037432202,4320,20.5
06037432300,4530,11.8
06037432401,3533,23.7
06037432402,6786,24
06037432500,8940,12.8
06037432601,6996,22.8
06037432602,4699,15.2
06037432700,5625,22.5
06037432801,2626,20.8
06037432802,5373,31.2
06037432901,4324,13.6
06037432902,3379,11.2
06037433101,2308,17.5
06037433102,4628,23.5
06037433200,6137,20.9
06037433302,1576,25.1
06037433304,4941,23.2
06037433305,5162,23.8
06037433306,3138,17.8
06037433307,3118,23.4
06037433401,3053,24.7
06037433402,4506,26.9
06037433403,4660,33.6
06037433501,1793,40
06037433503,3176,13.3
06037433504,4827,25.2
06037433601,5209,14.5
06037433602,2934,26.3
06037433700,3931,11.6
06037433801,6690,29.9
06037433802,3465,13.4
06037433901,5718,36.4
06037433902,3333,15.6
06037434001,4294,13.1
06037434003,4496,21.9
06037434004,2844,15
06037460000,4605,8.9
06037460100,6194,5.6
06037460200,5588,2.9
06037460301,4486,7.8
06037460302,4697,18.6
06037460401,875,14.9
06037460501,5611,0.8
06037460502,4406,2.7
06037460600,4575,6
06037460700,4987,2.9
06037460800,2999,4.9
06037460900,7051,12.7
06037461000,6338,12.8
06037461100,5204,16.1
06037461200,4696,7.3
06037461300,6828,10.5
06037461400,3085,7.8
06037461501,4223,11.6
06037461502,6419,29.1
06037461600,6362,25.1
06037461700,1521,4.3
06037461901,5088,23.6
06037461902,1744,30.8
06037462001,4011,26.9
06037462002,4227,22.1
06037462100,5836,28.7
06037462201,3667,29.6
06037462202,2693,27.3
06037462301,4533,18.7
06037462302,3202,16.1
06037462400,3948,15.7
06037462500,6751,11
06037462600,2287,3.6
06037462700,5259,17.8
06037462800,2782,9.6
06037462900,3807,6.9
06037463000,2277,3.6
06037463101,2409,12.6
06037463102,3958,8.1
06037463200,3360,9.6
06037463300,1966,6.8
06037463400,5785,9
06037463500,5247,10
06037463601,5849,12.5
06037463602,5586,18
06037463700,2643,11.3
06037463800,3924,2.9
06037463900,3163,10
06037464000,5941,11
06037464100,7370,7.7
06037464200,5941,5.7
06037480002,3391,4.9
06037480011,5099,17
06037480012,5058,6.4
06037480101,3950,11.5
06037480102,4565,12.6
06037480201,3833,2.6
06037480202,2669,2
06037480302,4533,14.4
06037480303,3856,20
06037480304,4307,30.5
06037480400,5390,10.6
06037480500,5072,6.6
06037480600,8012,10.4
06037480702,4347,3.7
06037480703,3633,3.9
06037480704,4764,13.7
06037480802,3214,10.1
06037480803,3763,12.4
06037480804,5280,15.8
06037480901,5266,20
06037480902,4035,15.7
06037480903,2842,23.3
06037481001,3947,11.4
06037481002,6015,13.2
06037481101,4077,12.9
06037481102,3869,14
06037481103,4760,11.9
06037481201,3794,10.6
06037481202,5720,14.2
06037481300,3303,13.2
06037481401,6346,19.8
06037481402,7304,12.2
06037481500,4441,18.2
06037481603,3574,16.3
06037481604,3750,13.4
06037481605,2933,12.2
06037481606,5115,17.3
06037481711,4053,23.8
06037481712,5579,19
06037481713,2910,16.9
06037481714,2711,24.8
06037481800,2898,8.8
06037481901,5979,9
06037481902,3254,8
06037482001,2784,5.6
06037482002,6837,13.5
06037482101,4691,18.5
06037482102,2990,13.5
06037482201,3889,23.4
06037482202,5072,17
06037482301,4783,23.2
06037482303,5947,25.7
06037482304,3671,34.9
06037482401,3880,10.6
06037482402,7137,9.9
06037482502,3280,23.8
06037482503,4447,17.4
06037482521,5429,12
06037482522,5092,12.6
06037482600,6714,12.8
06037482701,4241,12.3
06037482702,2508,13
06037482800,4467,10.1
06037500100,3943,2.7
06037500201,6514,2.2
06037500202,4716,4.1
06037500300,3134,8.1
06037500402,4589,12.7
06037500403,3977,17.8
06037500404,4964,7.7
06037500500,2937,12.7
06037500600,5679,13.4
06037500700,6298,8.1
06037500800,5515,9.1
06037500900,5902,14.8
06037501001,3428,11.4
06037501002,5158,4.6
06037501200,5026,10.1
06037501300,7130,5.1
06037501400,4013,14.8
06037501501,2538,7.6
06037501503,5283,16.7
06037501504,3463,23.6
06037501600,6956,14.5
06037501700,3512,13.1
06037501802,3507,13.4
06037501803,4353,31.2
06037501804,2104,22.7
06037501900,4204,7.6
06037502003,2714,15.2
06037502004,4144,12.2
06037502005,5031,7.5
06037502100,4887,10.8
06037502200,6411,10.4
06037502301,5860,8.5
06037502302,3167,17.4
06037502401,5145,14.2
06037502402,3829,5.7
06037502500,3966,9.6
06037502601,7084,4.7
06037502602,4390,12.8
06037502700,6898,10.1
06037502801,6592,12.8
06037502802,2934,18.9
06037502901,5638,7.5
06037502902,4161,27.8
06037503000,5701,28.8
06037503103,5469,8.7
06037503104,2510,16.5
06037503105,4329,18.4
06037503106,3389,5.3
06037503201,4247,9.2
06037503202,5168,19.9
06037503301,3143,8.2
06037503302,6698,5.9
06037503401,6669,8.5
06037503402,4232,6.3
06037503501,6297,16.1
06037503502,4324,10.6
06037503601,3963,3.2
06037503602,4286,4.9
06037503701,5269,4.7
06037503702,5263,11.2
06037503703,7951,5.1
06037503801,3995,13.7
06037503802,4875,8.5
06037503901,2933,6.7
06037503902,4564,3.9
06037504001,3537,11.2
06037504002,4947,8.2
06037504101,5079,9.7
06037504102,7,0
06037530003,3370,6.3
06037530004,3709,9.1
06037530005,4326,6.8
06037530006,4060,10.2
06037530101,5147,19.1
06037530102,5112,14.8
06037530202,4382,5.2
06037530203,2900,16.4
06037530204,3926,17.4
06037530301,2152,23.9
06037530302,6886,10.9
06037530400,3810,20.9
06037530500,4102,28.3
06037530601,3156,18.4
06037530602,1521,11.6
06037530700,2225,15.8
06037530801,4913,22
06037530802,3473,17.9
06037530901,3585,18.7
06037530902,4150,18.8
06037531000,5283,18.9
06037531101,4904,20.8
06037531102,3399,27.9
06037531201,5718,28.1
06037531202,4540,19.1
06037531301,5143,33.3
06037531302,6734,19.8
06037531502,3403,17
06037531503,2747,23.2
06037531504,4177,30.7
06037531602,5005,30.3
06037531603,3196,27.7
06037531604,3752,25.7
06037531701,5580,20.2
06037531702,4663,26.7
06037531800,5216,20.5
06037531901,6371,27
06037531902,4317,17.4
06037532001,3099,24.6
06037532002,3301,21.9
06037532101,6524,22.3
06037532102,3830,6.6
06037532200,6501,12.3
06037532302,4780,18.8
06037532303,4468,11.9
06037532304,4156,25.5
06037532400,58,1.7
06037532500,4015,29.4
06037532603,3267,24.7
06037532604,2803,27.9
06037532605,3723,35.2
06037532606,4539,29.8
06037532700,3225,21.6
06037532800,4311,38.3
06037532900,7075,32.3
06037533001,4162,26.7
06037533002,2677,23.9
06037533103,3156,35.1
06037533104,4200,40
06037533105,2622,40.7
06037533106,1598,14.9
06037533107,3554,35.8
06037533201,2903,26.7
06037533202,2626,18.9
06037533203,2084,24.1
06037533300,3518,28.6
06037533401,5583,24.5
06037533402,4048,28.5
06037533403,2732,33.5
06037533501,3149,31.8
06037533502,2071,17.8
06037533503,2279,29.6
06037533601,4679,27.6
06037533602,5594,22.8
06037533603,7027,26.2
06037533701,3253,30
06037533702,3654,30.1
06037533703,4755,14.2
06037533803,6032,25.7
06037533804,4696,14.4
06037533805,3631,18
06037533806,3664,30.7
06037533901,6404,30.6
06037533902,4000,21.7
06037534001,5350,28.7
06037534002,4296,22.8
06037534101,2331,27.4
06037534102,6592,30.1
06037534201,4590,33.6
06037534202,5552,38.3
06037534203,3380,28.7
06037534301,4566,35.3
06037534302,3707,33.9
06037534403,2959,18.5
06037534404,3666,27.6
06037534405,4064,31.9
06037534406,5094,30.4
06037534501,5262,14
06037534502,4875,22.8
06037534700,4455,11.6
06037534802,2877,22.2
06037534803,4632,28.2
06037534804,3895,15.5
06037534900,6059,20.4
06037535001,4415,28.1
06037535002,3683,34.4
06037535101,7903,39.2
06037535102,4939,40.3
06037535200,6077,20.1
06037535300,5956,29.9
06037535400,3169,31.2
06037535501,3949,25.7
06037535502,5133,21.6
06037535503,2380,26.3
06037535603,3593,21.8
06037535604,4332,22.9
06037535605,4639,24.8
06037535606,2106,18.7
06037535607,5075,23.6
06037535701,5739,11.3
06037535702,4756,29.1
06037535802,6536,14.5
06037535803,4476,24
06037535804,5631,23
06037535901,5734,21.6
06037535902,7012,5.6
06037536000,3797,16.7
06037536102,3386,7.9
06037536103,5610,14.7
06037536104,4122,24.2
06037536200,7159,19.2
06037540000,7178,21.5
06037540101,6502,11.9
06037540102,6846,15.7
06037540201,2072,32.5
06037540202,6648,32.3
06037540203,5719,23.4
06037540300,5309,15.9
06037540400,2588,33.5
06037540501,4875,12.9
06037540502,6682,37.3
06037540600,4795,27.3
06037540700,3347,20.6
06037540800,5727,8
06037540901,4568,31.9
06037540902,4943,19.9
06037541001,1180,12.6
06037541002,2935,10
06037541100,3163,23
06037541200,6463,24
06037541300,5871,20.3
06037541400,7416,27.8
06037541500,6273,23.1
06037541603,3291,40.4
06037541604,6061,29
06037541605,5402,22
06037541606,2334,19
06037541700,6643,19.7
06037541801,6040,31.2
06037541802,5711,16.9
06037542000,4926,19.4
06037542103,4059,26.4
06037542104,3416,18.9
06037542105,4982,27.5
06037542106,3540,27.5
06037542200,7413,24.8
06037542401,5177,24.2
06037542402,3251,16.7
06037542501,4912,32.3
06037542502,4683,35.2
06037542601,3106,40.3
06037542602,5548,15.6
06037542700,5874,20.2
06037542800,3029,20.5
06037542900,3124,21.7
06037543000,4508,11.3
06037543100,6771,10.1
06037543201,3871,19
06037543202,5121,20.5
06037543304,5952,12
06037543305,3311,9.1
06037543306,7664,4.1
06037543321,5752,13
06037543322,7327,4.4
06037543400,4064,6.2
06037543501,6832,12.3
06037543502,4173,15.7
06037543503,5231,9.6
06037543601,3760,6.9
06037543602,7836,6.9
06037543603,4224,5.2
06037543604,5503,3.7
06037543701,2992,9.8
06037543702,7045,16.2
06037543703,3333,4.4
06037543801,5319,14.5
06037543802,6637,10
06037543903,3596,6.3
06037543905,4696,28.7
06037544001,4796,16.7
06037544002,3441,10.9
06037550000,1330,60
06037550100,7682,9.8
06037550201,2945,11.6
06037550202,6201,11.9
06037550300,7941,9.3
06037550400,1372,7.5
06037550500,7892,2.3
06037550601,5589,16.7
06037550602,4526,4.7
06037550700,7007,2
06037550800,7665,6.8
06037550901,3876,14.8
06037550902,5906,17.2
06037551000,7393,6.5
06037551101,3944,26
06037551102,5285,22.9
06037551201,3544,6.2
06037551202,7581,13.2
06037551300,5042,9.7
06037551401,4742,7.7
06037551402,4488,10
06037551501,4781,9.7
06037551502,4169,8.3
06037551600,0,-
06037551700,6182,15.7
06037551800,7919,7.7
06037551900,4909,8
06037552001,4272,7.8
06037552002,3523,20.1
06037552100,6416,14.7
06037552200,5633,19.3
06037552301,4450,11
06037552302,3849,8.3
06037552400,2534,5.1
06037552601,5485,11.7
06037552602,4805,37.5
06037552700,7046,14.8
06037552800,5976,10.3
06037552900,6925,16.8
06037553000,5034,4
06037553100,6671,9.6
06037553200,7635,9.4
06037553300,3367,12.5
06037553400,3582,18.7
06037553502,4210,16.7
06037553503,2742,13.9
06037553504,6044,25.4
06037553601,4685,18.8
06037553602,5064,12.4
06037553701,4059,21.7
06037553702,4769,23.7
06037553801,4447,26.5
06037553802,6415,24.9
06037553901,6590,12
06037553902,5629,24.8
06037554001,3728,13.5
06037554002,5686,13.8
06037554101,3780,25
06037554103,1620,7.2
06037554104,2527,23
06037554105,4376,28.9
06037554201,4557,6.3
06037554203,3838,11.8
06037554204,4418,15.3
06037554301,3676,12.6
06037554302,4314,18.2
06037554403,5415,17.1
06037554404,3962,20
06037554405,3037,16.7
06037554406,4668,12.6
06037554511,4039,2.9
06037554512,6109,5.2
06037554513,2766,6.5
06037554514,4844,6.8
06037554515,3784,5.3
06037554516,3850,0.8
06037554517,4427,8.2
06037554518,5366,3.1
06037554519,3597,5.8
06037554521,6129,5.4
06037554522,5072,5.6
06037554600,4441,24.5
06037554700,4515,14.3
06037554801,3108,20
06037554802,5932,10
06037554900,7359,9.8
06037555001,5548,16.4
06037555002,3226,11.6
06037555102,6381,17.5
06037555103,5010,8.7
06037555104,4068,8.9
06037555202,3336,8
06037555211,5852,27.4
06037555212,4638,30.3
06037570001,4967,8
06037570002,3110,7.5
06037570003,4401,9.1
06037570100,3115,21
06037570202,5943,14
06037570203,3856,14.2
06037570204,4021,19.6
06037570301,7567,25.1
06037570303,4372,27.2
06037570304,4882,21.5
06037570402,3559,14.6
06037570403,5186,32.7
06037570404,3479,15.9
06037570501,7259,18.8
06037570502,6321,19.9
06037570601,5819,17.9
06037570602,6670,16.3
06037570603,4878,31
06037570701,6941,7
06037570702,2344,8.2
06037570800,5573,3.6
06037570901,5771,4.5
06037570902,3773,4
06037571000,5742,3
06037571101,4483,3.1
06037571102,4043,4.6
06037571200,7774,6.7
06037571300,4189,5.4
06037571400,4466,3.8
06037571502,4459,8.3
06037571503,3835,12.9
06037571504,4804,8.3
06037571600,2187,60.9
06037571701,6250,20.1
06037571703,3605,18.4
06037571704,4282,30.6
06037571800,2956,4.7
06037571900,5724,2.3
06037572001,5413,6
06037572002,5038,11.2
06037572100,1035,1.4
06037572201,6300,13.6
06037572202,3569,9.4
06037572301,4216,15.7
06037572302,3457,11
06037572400,1240,22.3
06037572500,3804,37.8
06037572600,5479,9.6
06037572700,5601,12.9
06037572800,966,52
06037572900,5687,26.2
06037573002,3977,38.1
06037573003,1849,25.2
06037573004,4694,31.2
06037573100,7574,14.5
06037573201,4840,26.9
06037573202,6425,24.5
06037573300,4185,35.2
06037573401,1329,10.3
06037573402,6671,12.7
06037573403,3487,12.9
06037573601,6074,4.7
06037573700,4781,4.4
06037573800,4386,7.7
06037573902,1978,1.7
06037574000,5336,5.9
06037574100,5122,3.9
06037574201,3067,3.9
06037574202,1856,8.2
06037574300,5771,7.1
06037574400,5086,4.1
06037574500,6472,6.8
06037574601,0,-
06037574602,1214,10.4
06037574700,0,-
06037574800,2907,11.6
06037574901,3674,8.2
06037574902,4950,47.1
06037575001,3737,11.6
06037575002,4438,12.6
06037575101,4627,32.5
06037575102,4132,31.5
06037575103,5268,21.5
06037575201,4681,23.1
06037575202,4722,30.4
06037575300,5025,31.8
06037575401,5049,34
06037575402,4227,31
06037575500,44,22.7
06037575801,2395,39.3
06037575802,5664,42.5
06037575803,2975,39.6
06037575901,3562,34.1
06037575902,5338,24.7
06037576001,5370,8
06037576200,5493,33.1
06037576301,4003,22.8
06037576302,4812,20.7
06037576401,5370,43.6
06037576402,5031,25.1
06037576403,5344,32
06037576501,2988,29.8
06037576502,4668,25.8
06037576503,4265,15.9
06037576601,4679,10.9
06037576602,4300,15.1
06037576700,3786,9.2
06037576801,3916,28.4
06037576802,3580,16.2
06037576901,6049,37.5
06037576903,3542,26.5
06037576904,3169,15.3
06037577000,7094,16.8
06037577100,7096,6
06037577200,5557,9.8
06037577300,5478,9.2
06037577400,3072,11
06037577501,3506,13.5
06037577504,1388,8.2
06037577602,3239,5.6
06037577603,7818,9.4
06037577604,1373,4.2
06037599000,3658,14.8
06037599100,236,10.2
06037600100,7406,37.9
06037600201,4660,37.6
06037600202,6571,31.5
06037600302,2835,31
06037600303,4101,38.7
06037600304,3640,37.9
06037600400,4225,15
06037600501,2602,15
06037600502,2203,9.2
06037600601,2614,13.3
06037600602,2660,35.1
06037600702,4738,9
06037600703,1855,11
06037600704,3048,23.1
06037600801,3494,7.4
06037600802,2485,13.8
06037600902,6703,30
06037600911,3345,13.3
06037600912,5617,25
06037601001,2142,14.6
06037601002,4827,19.5
06037601100,6290,29.2
06037601202,3956,14.5
06037601211,3007,21.6
06037601212,7036,24.5
06037601301,1960,5.6
06037601302,7518,17.4
06037601303,4944,18.9
06037601401,5451,24.1
06037601402,5234,12.1
06037601501,3999,32.7
06037601502,3920,25.1
06037601600,4035,31.3
06037601700,5330,27.5
06037601801,3395,31.8
06037601802,4000,20.2
06037601900,5078,27.6
06037602002,3101,19.9
06037602003,4483,23.8
06037602004,3661,20.9
06037602103,6573,16.7
06037602104,5831,18.6
06037602105,4395,19.5
06037602106,5321,16.2
06037602200,7821,20.1
06037602301,6614,8.7
06037602302,3592,2.6
06037602402,6344,10.7
06037602403,5455,15.6
06037602404,6381,18
06037602504,4727,21
06037602505,4439,30.8
06037602506,3959,22.8
06037602507,4510,14.4
06037602508,7251,16.7
06037602509,4210,12.8
06037602600,8344,10.3
06037602700,3731,17.3
06037602801,3572,32.2
06037602802,4490,11.3
06037602900,4274,19.9
06037603001,7361,28.3
06037603004,1435,12
06037603005,5692,21.7
06037603006,1932,19.3
06037603101,4032,16.9
06037603102,3663,19.5
06037603200,3232,6.3
06037603301,3498,7.4
06037603302,3821,22.5
06037603400,4640,6.6
06037603500,2960,9.4
06037603600,4263,8.2
06037603702,4802,9
06037603703,2647,2.9
06037603704,6317,22.1
06037603801,4994,21.2
06037603802,3828,16.4
06037603900,7706,18.8
06037604001,4596,12.8
06037604002,4962,10.4
