GEOID,pop_pov,pov_rt
06001441501,6464,3.2
06001441503,6759,3.7
06001441521,6276,3.9
06001441522,5147,10.3
06001441523,4336,4.4
06001441524,4432,1.8
06001441601,5056,4.5
06001441602,8065,6.1
06001441700,8093,7.6
06001441800,7665,6.8
06001441921,3949,1.2
06001441923,6213,8.4
06001441924,8030,3.7
06001441925,6920,5.3
06001441926,4453,6.2
06001441927,4552,6.4
06001442000,3286,1.6
06001442100,5201,2.2
06001442200,7093,1.7
06001442301,4948,6.6
06001442302,5988,8.2
06001442400,6502,8.4
06001442500,7487,6.6
06001442601,4055,3.8
06001442602,4947,8
06001442700,3025,1.7
06001442800,2907,8
06001442900,7904,1.4
06001443001,2798,3
06001443002,6799,3.2
06001443102,4788,2.9
06001443103,3987,3.4
06001443104,5535,4.3
06001443105,4493,2
06001443200,3967,2.4
06001443301,4163,2.6
06001443321,3428,5.2
06001443322,3196,3.2
06001444100,7752,4.2
06001444200,6953,5.7
06001444301,4164,8.8
06001444302,4422,7.2
06001444400,4986,10.3
06001444500,7351,8.6
06001444601,5454,3.9
06001444602,4429,2.5
06001450101,5212,5.3
06001450102,4157,3
06001450200,6252,3
06001450300,5161,5.1
06001450400,6087,3.6
06001450501,3341,5.2
06001450502,5564,2
06001450601,3679,6.2
06001450602,9943,4.8
06001450603,5313,1.3
06001450604,5489,4.4
06001450605,3923,4.1
06001450606,6209,1.3
06001450607,5691,11.5
06001450701,8797,5.4
06001450741,5117,3.8
06001450742,4921,2.6
06001450743,6496,7.4
06001450744,5919,2.5
06001450745,6113,2.2
06001450746,3616,2
06001450750,4844,6
06001450751,8963,2.7
06001450752,5825,1.4
06001451101,7349,4
06001451102,4137,4.3
06001451201,7335,7.8
06001451202,4685,1.6
06001451300,7030,5
06001451401,6260,7.9
06001451403,2244,5.4
06001451404,6390,8.8
06001451501,4882,2.2
06001451503,6131,5.8
06001451504,1723,3.7
06001451505,3434,1.1
06001451506,3477,7.5
06001451601,5309,3.9
06001451602,6703,4
06001451701,3156,3.2
